Temp Change max 2012-2022,Disaster Affected Population 2020-2025,Disaster Damage US$T 2020-2025,Undernourishment (%),Renewable Freshwater per Capita (m3),Population below Poverty Line (%),Health Expenditure per Capita (US$),RoW Health Expenditure (%),No Education (%),Education Expenditure (US$M),Crime Rate,Government Debt (% of GDP),Total Reserves (% of External Debt),Gini Coefficient,Inflation (%),Youth Unemployment (%),Renewable Energy Consumption (%),Secure Internet Servers,Future Conflict Risk,Current Conflict Intensity,COVID-19 Expenditure per Capita (US$),pol_PC1,pol_PC2,pol_PC3,pol_PC4,pol_PC5,pol_PC6,water_air_PC1,water_air_PC2,water_air_PC3,disease_PC1,disease_PC2,disease_PC3,disease_PC4
2.012,13016058.0,0.0,30.4,1178.73785900005,23.30423459743635,81.0,8.0,58.38,819.55782,7.08,113.7335,74.99912092488255,36.10243793933487,24.11295927248916,17.291,20.0,43.758544404586,0.922130286693573,335.0,2.0,4.228876895203284,0.05094317259280073,1.0856482187425875,-0.1574025019271455,0.4514145737026474,-0.5051439959796893,1.6538168451899482,-0.5517842691557506,0.3440336064904591,0.0901440792196432,-0.3505638388601581,-0.636542484866826,-0.23571214001012808
1.752,4544311.0,0.0,23.2,4285.82651976205,23.30423459743635,101.0,7.0,23.932941176470585,3047.73855,5.29,113.7335,21.9148430807675,36.10243793933487,13.6441017767715,28.075,52.9,40.2177899448233,0.346535325050354,0.0,2.0,1.9996076827075548,0.3621791685389494,-0.4496132923981809,-0.23102840152318924,-0.0062198410313373245,-0.3908471666796743,0.8243213035235383,-0.09301498216928783,-0.40967836466600965,1.9927971091814816,-0.40428545849775926,0.06953939098827801,-0.5402312113085556
2.028,84.0,0.0,4.5,9567.2814623074,23.13888888888889,414.0,0.0,3.28,470.23552,5.63,59.811,50.9695824839935,40.79444444444445,4.75976421930107,24.817,41.9,1220.33290943972,0.0074432282708585,0.0,80.5,-0.5323947298785345,-0.7578207885387706,0.06704498612908474,0.5868106300881429,-0.23479230337671259,0.10406787018077396,-0.5780452816206114,-0.17616209816784262,0.0800518427719312,-1.0544800258749445,-0.05541092775277797,0.3110294541763529,0.2610797756675886
3.243,114957.26086956522,13714916717.391304,2.609090909090909,4027.35950181206,12.5125,3.192,0.0769230769230769,3.0647916666666664,96.51866,2.96,70.51808108108109,57.46786040071886,31.228125,6.103606251565688,12.841734693877552,18.4,14618.5811813595,0.036854080283083,27.84,281.2068965517241,-3.510616859910032,0.5533222062958766,-0.4198294546559589,0.21935539557180056,-0.11868602585711337,0.035243777446778396,-1.481278765399804,0.29575277616152196,-0.30004064226193194,-2.077184620532607,0.3330921805743133,-0.4974544577573049,-0.18904359325020983
1.699,346.0,0.0,2.7,15.6655476591912,12.5125,2.315,0.0769230769230769,9.72,28330.64042744186,5.75,32.436,57.46786040071886,31.228125,1.62670837213248,6.467,1.0,2119.66117852284,0.0098095657303929,0.0,379.0,-1.479101226398097,2.4889317344136233,0.023828573992955467,0.8469048347495751,0.35694418933025,-0.04804374862863753,-1.4435302166910804,0.43028045678664467,-0.053020849986734675,-0.416270880244424,-0.2695043441737553,1.131574539905035,0.0003185768363891854
1.123,979425.0,938469000.0,3.2,6444.16907637027,23.8,1.371,0.0,0.93,35105.55042,4.38,57.86857894736842,14.8648653848381,42.4,6.545593716414948,17.946,9.2,5451.20150353984,0.0277565307915211,0.0,80.5,0.06477718451228752,-1.2985867989553588,-0.029063446639925515,-0.0658612195902083,-0.021547715180262345,0.16411886867226366,-0.9883382313494438,-0.11274781338880309,-0.34903808156806837,-0.9687671585690475,0.07617434987471958,0.15099183091795657,-0.37715778979959524
2.772,21265.0,0.0,2.5,2315.43057759174,18.3,675.0,0.0,0.6,312.11636,3.26,57.86857894736842,23.0052590584504,27.9,1.98041877615554,26.135,9.1,1166.53850011702,0.251416832208633,20.0,56.0,-0.08462294338515294,-0.8476325189710139,0.8945803641816301,0.13357424506561888,0.2677607032935175,-0.06094004947087407,-0.47607892814802805,0.1298067797374378,0.6872412663971613,-0.7841269661259873,-0.12490048221651204,0.36246227861424696,0.2854341718347216
1.131,525404.3684210526,783647526.3157895,5.556756756756757,563.081354427227,23.13888888888889,1.085,0.0,7.609642857142858,9814.788208260868,3.34,57.86857894736842,36.86358520448992,40.79444444444445,5.06713865364213,20.80461538461539,0.9,803.720690985469,0.0,0.0,80.5,-1.5786991859983488,-0.2552341159639622,-0.45603992165275725,0.055407039314959695,-0.2650851449117124,-0.12345599387093904,-0.8922315168880028,-0.09265147360919111,-0.250677437860772,-0.3588193170522307,-0.1384011017783771,-0.149787220606621,-0.05967157444820219
1.499,290558.0,17135351000.0,2.5,19154.841666546,12.5125,6.731,0.0,0.72,68159.44641,4.0,49.009,57.46786040071886,31.228125,5.5970149253731,8.375,12.3,47567.6309507787,0.0069479513913393,0.0,707.0,-4.084995202619118,0.3258889940747224,0.5129938045710773,-0.12911314471462573,-0.056933682123028614,-0.2835617526428184,-1.573866501026407,0.42296734383403284,-0.22195593016214754,-1.9895803172392776,0.3082098920183339,-0.4023114927521064,-0.16385358194882263
2.524,2220.0,0.0,2.5,6141.27363538946,12.5,5.852,0.0,1.29,22413.54147,4.04,77.545,57.46786040071886,30.7,7.81413417002832,10.98,36.0,42281.0014410145,0.006267050281167,0.0,681.0,-3.477597601229956,0.07706880972377063,0.39501370058763885,-0.17018150495655215,-0.20650814074598303,0.2504513452195449,-1.5547736141001998,0.5077898294027791,-0.06624210184819702,-2.0934344129192097,0.35549107852997425,-0.6139932279066208,-0.15165322259932426
